Ery,Tmp,Cm,Response
7,0.25,0.3,42.73441507
7,0.25,0.45,42.89564921
7,0.25,0.6,34.98309732
7,0.25,0.75,37.58112398
7,0.25,0.9,35.25941954
7,0.25,1.05,29.57059036
7,0.25,1.2,34.28781986
7,0.25,1.35,31.88282132
10.5,0,0,53.67435888
10.5,0,0.15,54.96612631
10.5,0,0.3,46.75294931
10.5,0,0.45,41.08988008
10.5,0,0.6,34.89264827
10.5,0,0.75,32.69729798
10.5,0,0.9,31.52335429
10.5,0,1.05,30.54961602
10.5,0,1.2,30.04956979
10.5,0,1.35,24.94515889
10.5,0.05,0,49.77511032
10.5,0.05,0.15,50.7000565
10.5,0.05,0.3,42.93280438
10.5,0.05,0.45,38.06698331
10.5,0.05,0.6,32.58932543
10.5,0.05,0.75,30.58353794
10.5,0.05,0.9,29.75445852
10.5,0.05,1.05,28.73629646
10.5,0.05,1.2,28.21362293
10.5,0.05,1.35,23.97219633
10.5,0.1,0,42.0942727
10.5,0.1,0.15,42.61752387
10.5,0.1,0.3,35.39409523
10.5,0.1,0.45,31.50450476
10.5,0.1,0.6,26.9474075
10.5,0.1,0.75,25.30321129
10.5,0.1,0.9,25.01929487
10.5,0.1,1.05,24.12654426
10.5,0.1,1.2,23.75390881
10.5,0.1,1.35,20.62870951
10.5,0.15,0,45.20064197
10.5,0.15,0.15,45.3980082
10.5,0.15,0.3,38.46391746
10.5,0.15,0.45,35.0838575
10.5,0.15,0.6,30.91067998
10.5,0.15,0.75,29.13822067
10.5,0.15,0.9,28.83796711
10.5,0.15,1.05,27.5704425
10.5,0.15,1.2,26.84092798
10.5,0.15,1.35,24.15262255
10.5,0.2,0,41.14005256
10.5,0.2,0.15,41.08074249
10.5,0.2,0.3,34.4802607
10.5,0.2,0.45,31.69833496
10.5,0.2,0.6,28.08041125
10.5,0.2,0.75,26.50074859
10.5,0.2,0.9,26.50726362
10.5,0.2,1.05,25.27664963
10.5,0.2,1.2,24.59960246
10.5,0.2,1.35,22.58201699
10.5,0.25,0,37.51528507
10.5,0.25,0.15,37.25343125
10.5,0.25,0.3,30.92312058
10.5,0.25,0.45,28.62592729
10.5,0.25,0.6,25.46252842
10.5,0.25,0.75,24.05398687
10.5,0.25,0.9,24.32320173
10.5,0.25,1.05,23.14316316
10.5,0.25,1.2,22.5290536
10.5,0.25,1.35,21.06184342
14,0,0,42.8923403
14,0,0.15,52.13319318
14,0,0.3,48.4355163
14,0,0.45,42.53666514
14,0,0.6,34.44976279
14,0,0.75,23.82501215
14,0,0.9,24.23177302
14,0,1.05,21.95201278
14,0,1.2,22.13913828
14,0,1.35,18.12392368
14,0.05,0,39.98747839
14,0.05,0.15,48.02171264
14,0.05,0.3,44.71184786
14,0.05,0.45,39.41956204
14,0.05,0.6,31.67531274
14,0.05,0.75,22.01009159
14,0.05,0.9,22.96293104
14,0.05,1.05,20.73333297
14,0.05,1.2,20.88914199
14,0.05,1.35,17.47432488
14,0.1,0,37.40721984
14,0.1,0.15,44.12012206
14,0.1,0.3,41.22516257
14,0.1,0.45,36.57893357
14,0.1,0.6,29.1865623
14,0.1,0.75,20.54496762
14,0.1,0.9,22.06629697
14,0.1,1.05,19.86097258
14,0.1,1.2,19.95169692
14,0.1,1.35,17.16420344
14,0.15,0,32.32988849
14,0.15,0.15,37.97074518
14,0.15,0.3,35.46096944
14,0.15,0.45,31.42917987
14,0.15,0.6,24.43827945
14,0.15,0.75,16.76191711
14,0.15,0.9,18.89102462
