Sal,Ery,Cm,Response
1.2,27.5,0.45,69.91428328
1.2,27.5,0.6,65.49190616
1.2,27.5,0.75,61.84244669
1.2,27.5,0.9,58.73416812
1.2,27.5,1.05,55.41183647
1.2,27.5,1.2,55.74969572
1.2,27.5,1.35,52.81503578
1.8,0,0,55.83467824
1.8,0,0.15,56.02324723
1.8,0,0.3,57.98174406
1.8,0,0.45,58.47989568
1.8,0,0.6,58.48442065
1.8,0,0.75,55.24103407
1.8,0,0.9,52.43596838
1.8,0,1.05,51.66105387
1.8,0,1.2,47.59084406
1.8,0,1.35,45.06965462
1.8,5.5,0,64.51850544
1.8,5.5,0.15,64.67751439
1.8,5.5,0.3,66.38843521
1.8,5.5,0.45,66.54314094
1.8,5.5,0.6,66.11972155
1.8,5.5,0.75,62.40167097
1.8,5.5,0.9,59.08340266
1.8,5.5,1.05,57.793304
1.8,5.5,1.2,53.22697594
1.8,5.5,1.35,50.21144156
1.8,11,0,67.03306394
1.8,11,0.15,67.14503348
1.8,11,0.3,68.59569128
1.8,11,0.45,68.49115139
1.8,11,0.6,67.76023104
1.8,11,0.75,63.72690268
1.8,11,0.9,60.0786163
1.8,11,1.05,58.4833213
1.8,11,1.2,53.65401183
1.8,11,1.35,50.37671938
1.8,16.5,0,65.40573206
1.8,16.5,0.15,65.47219898
1.8,16.5,0.3,66.71753625
1.8,16.5,0.45,66.4643378
1.8,16.5,0.6,65.5692126
1.8,16.5,0.75,61.39075914
1.8,16.5,0.9,57.59921317
1.8,16.5,1.05,55.89257873
1.8,16.5,1.2,50.99988016
1.8,16.5,1.35,47.65836788
1.8,22,0,57.83639448
1.8,22,0.15,57.86182752
1.8,22,0.3,58.99718752
1.8,22,0.45,58.7670134
1.8,22,0.6,57.92710019
1.8,22,0.75,53.85187207
1.8,22,0.9,50.19153466
1.8,22,1.05,48.66405963
1.8,22,1.2,43.99475195
1.8,22,1.35,40.8777571
1.8,27.5,0,53.70667887
1.8,27.5,0.15,53.69700442
1.8,27.5,0.3,54.70916492
1.8,27.5,0.45,54.43815323
1.8,27.5,0.6,53.56719413
1.8,27.5,0.75,49.49048719
1.8,27.5,0.9,45.84242344
1.8,27.5,1.05,44.36061201
1.8,27.5,1.2,39.77478452
1.8,27.5,1.35,36.74133349
2.4,0,0,43.6605605
2.4,0,0.15,45.63548405
2.4,0,0.3,44.11948637
2.4,0,0.45,43.9216999
2.4,0,0.6,46.90364895
2.4,0,0.75,47.83734513
2.4,0,0.9,46.92579666
2.4,0,1.05,43.48790924
2.4,0,1.2,42.60596448
2.4,0,1.35,42.34806968
2.4,5.5,0,43.68172076
2.4,5.5,0.15,45.68391583
2.4,5.5,0.3,44.17383175
2.4,5.5,0.45,43.80446758
2.4,5.5,0.6,46.55762303
2.4,5.5,0.75,47.28920562
2.4,5.5,0.9,46.18510789
2.4,5.5,1.05,42.58036225
2.4,5.5,1.2,41.56550676
2.4,5.5,1.35,41.19462539
2.4,11,0,55.54037082
2.4,11,0.15,57.58596353
2.4,11,0.3,55.94542069
2.4,11,0.45,55.0025004
2.4,11,0.6,57.00087077
2.4,11,0.75,56.95048862
2.4,11,0.9,55.03091281
2.4,11,1.05,50.62230781
2.4,11,1.2,48.84519198
2.4,11,1.35,47.74542813
2.4,16.5,0,56.98657716
2.4,16.5,0.15,59.07438348
2.4,16.5,0.3,57.42627558
2.4,16.5,0.45,56.18184849
2.4,16.5,0.6,57.77936823
2.4,16.5,0.75,57.36110976
2.4,16.5,0.9,55.08263712
2.4,16.5,1.05,50.3514045
2.4,16.5,1.2,48.30272355
2.4,16.5,1.35,46.96243505
2.4,22,0,48.68414767
2.4,22,0.15,50.80747219
2.4,22,0.3,49.26686404
2.4,22,0.45,47.99900934
2.4,22,0.6,49.55540458
2.4,22,0.75,49.18309792
2.4,22,0.9,46.9994373
2.4,22,1.05,42.42084799
2.4,22,1.2,40.57764955
2.4,22,1.35,39.46833816
2.4,27.5,0,46.96187544
2.4,27.5,0.15,49.11969455
2.4,27.5,0.3,47.60598591
2.4,27.5,0.45,46.17722594
2.4,27.5,0.6,47.5203907
2.4,27.5,0.75,46.9756257
2.4,27.5,0.9,44.63673837
2.4,27.5,1.05,39.93598936
2.4,27.5,1.2,38.01553175
2.4,27.5,1.35,36.85319154
3,0,0,34.31795499
3,0,0.15,34.60397226
3,0,0.3,32.64477637
3,0,0.45,30.29081783
3,0,0.6,30.36240729
3,0,0.75,33.85148093
3,0,0.9,37.91967096
3,0,1.05,38.23156709
3,0,1.2,34.49606914
3,0,1.35,32.41346805
3,5.5,0,44.55775175
3,5.5,0.15,44.72082464
3,5.5,0.3,42.62546225
3,5.5,0.45,39.95801017
3,5.5,0.6,39.61210651
3,5.5,0.75,42.50505891
3,5.5,0.9,45.86910712
3,5.5,1.05,45.59044913
3,5.5,1.2,41.40717513
3,5.5,1.35,38.82378676
3,11,0,45.65054091
3,11,0.15,45.61797036
3,11,0.3,43.48573717
3,11,0.45,40.70576261
3,11,0.6,40.19777441
3,11,0.75,42.73391111
3,11,0.9,45.6318992
3,11,1.05,45.1055561
3,11,1.2,40.91777191
3,11,1.35,38.24336588
3,16.5,0,46.50801186
3,16.5,0.15,46.28513571
3,16.5,0.3,44.11946842
3,16.5,0.45,41.23526407
3,16.5,0.6,40.57640348
3,16.5,0.75,42.77345974
3,16.5,0.9,45.22695049
3,16.5,1.05,44.46903558
3,16.5,1.2,40.28643572
3,16.5,1.35,37.53303771
3,22,0,39.54746774
3,22,0.15,39.15497979
3,22,0.3,37.05088484
3,22,0.45,34.27010312
3,22,0.6,33.73200563
3,22,0.75,35.92757299
3,22,0.9,38.31745637
3,22,1.05,37.70482302
3,22,1.2,33.88663092
3,22,1.35,31.42152532
3,27.5,0,35.90904757
3,27.5,0.15,35.37054262
3,27.5,0.3,33.29161277
3,27.5,0.45,30.54004572
3,27.5,0.6,30.02814012
3,27.5,0.75,32.13079244
3,27.5,0.9,34.36458297
3,27.5,1.05,33.76986188
3,27.5,1.2,30.15575277
3,27.5,1.35,27.8295361
